type,type,code,description,standardised_name,concat,,,,
BNF,ARB,0205052W0BBACAC,Teveten 600mg tablets,Eprosartan,"  ('BNF', 'ARB', '0205052W0BBACAC', 'Teveten 600mg tablets', 'Eprosartan'),",,,,
BNF,ARB,0205052X0AAAAAA,Valsartan 160mg / Hydrochlorothiazide 12.5mg tablets,Valsartan,"  ('BNF', 'ARB', '0205052X0AAAAAA', 'Valsartan 160mg / Hydrochlorothiazide 12.5mg tablets', 'Valsartan'),",,,,
BNF,ARB,0205052X0AAABAB,Valsartan 160mg / Hydrochlorothiazide 25mg tablets,Valsartan,"  ('BNF', 'ARB', '0205052X0AAABAB', 'Valsartan 160mg / Hydrochlorothiazide 25mg tablets', 'Valsartan'),",,,,
BNF,ARB,0205052X0AAACAC,Valsartan 80mg / Hydrochlorothiazide 12.5mg tablets,Valsartan,"  ('BNF', 'ARB', '0205052X0AAACAC', 'Valsartan 80mg / Hydrochlorothiazide 12.5mg tablets', 'Valsartan'),",,,,
BNF,ARB,0205052X0BBAAAA,Co-Diovan 160mg/12.5mg tablets,Valsartan,"  ('BNF', 'ARB', '0205052X0BBAAAA', 'Co-Diovan 160mg/12.5mg tablets', 'Valsartan'),",,,,
BNF,ARB,0205052X0BBABAB,Co-Diovan 160mg/25mg tablets,Valsartan,"  ('BNF', 'ARB', '0205052X0BBABAB', 'Co-Diovan 160mg/25mg tablets', 'Valsartan'),",,,,
BNF,ARB,0205052X0BBACAC,Co-Diovan 80mg/12.5mg tablets,Valsartan,"  ('BNF', 'ARB', '0205052X0BBACAC', 'Co-Diovan 80mg/12.5mg tablets', 'Valsartan'),",,,,
BNF,ARB,0205052Y0AAAAAA,Olmesartan medoxomil 20mg / Hydrochlorothiazide 12.5mg tab,Olmesartan,"  ('BNF', 'ARB', '0205052Y0AAAAAA', 'Olmesartan medoxomil 20mg / Hydrochlorothiazide 12.5mg tab', 'Olmesartan'),",,,,
BNF,ARB,0205052Y0AAABAB,Olmesartan medoxomil 20mg / Hydrochlorothiazide 25mg tablets,Olmesartan,"  ('BNF', 'ARB', '0205052Y0AAABAB', 'Olmesartan medoxomil 20mg / Hydrochlorothiazide 25mg tablets', 'Olmesartan'),",,,,
BNF,ARB,0205052Y0AAACAC,Olmesartan medoxomil 40mg / Hydrochlorothiazide 12.5mg tab,Olmesartan,"  ('BNF', 'ARB', '0205052Y0AAACAC', 'Olmesartan medoxomil 40mg / Hydrochlorothiazide 12.5mg tab', 'Olmesartan'),",,,,
BNF,ARB,0205052Y0BBAAAA,Olmetec Plus 20mg/12.5mg tablets,Olmesartan,"  ('BNF', 'ARB', '0205052Y0BBAAAA', 'Olmetec Plus 20mg/12.5mg tablets', 'Olmesartan'),",,,,
BNF,ARB,0205052Y0BBABAB,Olmetec Plus 20mg/25mg tablets,Olmesartan,"  ('BNF', 'ARB', '0205052Y0BBABAB', 'Olmetec Plus 20mg/25mg tablets', 'Olmesartan'),",,,,
BNF,ARB,0205052Y0BBACAC,Olmetec Plus 40mg/12.5mg tablets,Olmesartan,"  ('BNF', 'ARB', '0205052Y0BBACAC', 'Olmetec Plus 40mg/12.5mg tablets', 'Olmesartan'),",,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
